reference_key,external_id,product_name,sku,official_type,presentation,price_cop,image_status,image_url,source_url,active_claims,type,subtype,concern,benefit,ingredient,use,role,stage,system,formulation,finish,relation
admiss-co-official:product:7476696908019,7476696908019,MARTIN - ESMALTE TRADICIONAL METALIZADOS ADMISS 10 ML - GAMA MARRON,312720,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Martin.webp?v=1708028118,https://admiss.com.co/products/martin-esmalte-para-unas-10ml,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Metalizado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN ANIMALIA | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695400691,7476695400691,MAURO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA VERDE,312473,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Mauro.webp?v=1707425763,https://admiss.com.co/products/mauro-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476694614259,7476694614259,MIDAS - ESMALTE TRADICIONAL METALIZADOS ADMISS 10 ML - GAMA AMARILLO,310741,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Midas.webp?v=1707425792,https://admiss.com.co/products/midas-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Metalizado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693631219,7476693631219,MIGUE - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROJO,310216,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Migue.webp?v=1717512976,https://admiss.com.co/products/migue-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693532915,7476693532915,NICO - ESMALTE TRADICIONAL TRASLUCIDOS ADMISS 10 ML - GAMA LILA,310210,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Nico.webp?v=1707425820,https://admiss.com.co/products/nico-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Traslúcido,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:9108277035251,9108277035251,OLIVER - ESMALTE TRADICIONAL CREMOSO ADMISS 10 ML - GAMA AZUL,314257,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/ADMISSOLIVER314257.webp?v=1746622232,https://admiss.com.co/products/oliver-esmalte-tradicional-cremoso-admiss-10-ml-gama-x-copia,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS | Colección comercial: COLECCIÓN EUFORIA
admiss-co-official:product:7476696580339,7476696580339,OMAR - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROSADO,312563,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Omar.webp?v=1708028137,https://admiss.com.co/products/omar-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCION ESPIRITU VIBRANTE | Colección comercial: TODO ADMISS
admiss-co-official:product:7476696023283,7476696023283,OSCAR - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA VIOLETA,312493,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Oscar.webp?v=1707425873,https://admiss.com.co/products/oscar-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7991842537715,7991842537715,OWEN - ESMALTE TRADICIONAL ADMISS 10ML - GAMA ROSADO,313770,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Owen.webp?v=1707425936,https://admiss.com.co/products/owen-esmalte-tradicional-admiss-10ml-gama-rosado,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN RADIANTE | Colección comercial: TODO ADMISS | Colección comercial: COLECCIÓN ECLIPSE DE COLOR
admiss-co-official:product:7476694155507,7476694155507,PACHECO - ESMALTE TRADICIONAL METALIZADOS ADMISS 10 ML - GAMA BLANCO,310242,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Pacheco.webp?v=1707425962,https://admiss.com.co/products/pacheco-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Metalizado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
